Designation/Identification,Obstacle Type,Obstacle Position,Elevation AMSL,Height AGL,Obstacle Lighting,Revision Date,Remarks,Southern,Northern,Scotland,Sheet 1,Sheet 2,Sheet 3,Sheet 4,Sheet 5,Sheet 6,Sheet 7,Sheet 8,London Heli,Orkneys Inset,Shetland Inset
UK28234058F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","570644.68N
0045717.90W",1813 FT,443 FT,Unknown,24/7/2019,BEINNEUN W/F 26 OF 32,,,Yes,Yes,,,,,,,,,,
UK28234059F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","570620.16N
0045600.03W",2328 FT,438 FT,Unknown,24/7/2019,BEINNEUN W/F 23 OF 32,,,Yes,Yes,Yes,,,,,,,,,
UK28199747F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","555223.55N
0034416.86W",986 FT,410 FT,Unknown,9/2/2023,Wind Turbine,,Yes,Yes,Yes,Yes,,Yes,,,,,,,
UK28199748F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","555213.92N
0034410.44W",970 FT,410 FT,Unknown,9/2/2023,Wind Turbine,,Yes,Yes,Yes,Yes,,Yes,,,,,,,
UK28273551F,"MICROWAVE TOWER, TYPE I (HAS REFLECTOR/CONE)
Single","573612.22N
0020155.57W",1146 FT,400 FT,Unknown,5/9/2019,Mast,,,Yes,,Yes,,,,,,,,,
UK28273704F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581142.67N
0023444.81W",640 FT,640 FT,Yes,10/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273705F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580920.72N
0024239.76W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273706F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580957.21N
0024239.44W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273707F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581033.69N
0024239.20W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273708F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580806.18N
0023931.22W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
